Time (ms),Trajectory 1
0,0
17,-0.101232051849365
33,-0.194813251495361
50,-0.272422313690186
67,-0.326778411865234
83,-0.356613159179688
100,-0.367991924285889
117,-0.369998455047607
133,-0.370059967041016
150,-0.371471405029297
167,-0.373974561691284
183,-0.376328229904175
200,-0.377923250198364
217,-0.378778457641602
233,-0.379145622253418
250,-0.379287719726563
267,-0.379385709762573
283,-0.379528522491455
300,-0.379738807678223
317,-0.380004644393921
333,-0.380304098129272
350,-0.380619049072266
367,-0.380940914154053
383,-0.381271600723267
400,-0.381623506546021
417,-0.382018327713013
433,-0.3824782371521
450,-0.383012056350708
467,-0.383586645126343
483,-0.384084463119507
500,-0.384265422821045
517,-0.383771896362305
533,-0.382248401641846
550,-0.379660129547119
567,-0.376603603363037
583,-0.37403392791748
600,-0.372546195983887
617,-0.372103929519653
633,-0.372351884841919
650,-0.372934103012085
667,-0.37361216545105
683,-0.374269247055054
700,-0.374869585037231
717,-0.375415325164795
733,-0.375914573669434
750,-0.376366138458252
767,-0.376760244369507
783,-0.377092361450195
800,-0.377371549606323
817,-0.377615451812744
833,-0.377840757369995
850,-0.378057956695557
867,-0.37827205657959
883,-0.378485202789307
900,-0.378700971603394
917,-0.378926038742065
933,-0.37917423248291
950,-0.37946343421936
967,-0.379807233810425
983,-0.380199432373047
1000,-0.380606174468994
1017,-0.380980968475342
1033,-0.381296396255493
1050,-0.381587505340576
1067,-0.381986618041992
1083,-0.382732152938843
1100,-0.384132862091064
1117,-0.386451482772827
1133,-0.389621496200562
1150,-0.392996072769165
1167,-0.395651578903198
1183,-0.397076606750488
1200,-0.397389650344849
1217,-0.397001028060913
1233,-0.396293640136719
1250,-0.395513296127319
1267,-0.394775152206421
1283,-0.394108533859253
1300,-0.393501043319702
1317,-0.392930269241333
1333,-0.392377376556396
1350,-0.391831398010254
1367,-0.391288042068481
1383,-0.390745401382446
1400,-0.390199422836304
1417,-0.389640331268311
1433,-0.389049768447876
1450,-0.388408184051514
1467,-0.387706995010376
1483,-0.38698148727417
1500,-0.386350154876709
1517,-0.386053323745728
1533,-0.386448383331299
1550,-0.387890815734863
1567,-0.390416145324707
1583,-0.393429279327393
1600,-0.395976066589355
1617,-0.3974609375
1633,-0.397919178009033
1650,-0.397705316543579
1667,-0.39717435836792
1683,-0.396563529968262
1700,-0.395987272262573
1717,-0.395478010177612
1733,-0.395027875900269
1750,-0.394618034362793
1767,-0.394231796264648
1783,-0.393858671188354
1800,-0.393490076065063
1817,-0.393115997314453
1833,-0.392719268798828
1850,-0.392271995544434
1867,-0.391741991043091
1883,-0.391112565994263
1900,-0.390425443649292
1917,-0.389846801757813
1933,-0.389729499816895
1950,-0.390618085861206
1967,-0.393088817596436
1983,-0.39728832244873
2000,-0.402072191238403
2017,-0.404366254806519
2033,-0.400295495986938
2050,-0.387755393981934
2067,-0.367944478988647
2083,-0.34514307975769
2100,-0.32548975944519
2117,-0.315024614334106
2133,-0.317083835601807
2150,-0.330058097839355
2167,-0.348090648651123
2183,-0.364540338516235
2200,-0.375124216079712
2217,-0.379278182983398
2233,-0.379215478897095
2250,-0.37755298614502
2267,-0.375882148742676
2283,-0.374789953231812
2300,-0.374301671981812
2317,-0.37422776222229
2333,-0.374361276626587
2350,-0.374551773071289
2367,-0.374713897705078
2383,-0.374808311462402
2400,-0.374821186065674
2417,-0.374757766723633
2433,-0.374657392501831
2450,-0.374624967575073
2467,-0.374863624572754
2483,-0.375674247741699
2500,-0.377360582351685
2517,-0.37996506690979
2533,-0.382783651351929
2550,-0.383982419967651
2567,-0.381102561950684
2583,-0.372379064559937
2600,-0.357812404632568
2617,-0.339576005935669
2633,-0.321681261062622
2650,-0.308836460113525
2667,-0.304578304290771
2683,-0.30944299697876
2700,-0.321058511734009
2717,-0.335962772369385
2733,-0.35094952583313
2750,-0.363456726074219
2767,-0.37186598777771
2783,-0.375859975814819
2800,-0.376182317733765
2817,-0.373934984207153
2833,-0.370340347290039
2850,-0.366936206817627
2867,-0.365313768386841
2883,-0.366283893585205
2900,-0.369170188903809
2917,-0.371613740921021
2933,-0.370129346847534
2950,-0.36150050163269
2967,-0.344775915145874
