Time (ms),Trajectory biped,Trajectory tripod
0,0,0
17,0.046314508,0.030272014
33,0.095868565,0.060545016
50,0.147817787,0.088609347
67,0.196451668,0.110135568
83,0.234788541,0.120901207
100,0.259810569,0.125580498
117,0.274083262,0.141530595
133,0.282687772,0.167685517
150,0.288737344,0.201249284
167,0.292931968,0.239162088
183,0.295583088,0.278525283
200,0.297100556,0.316706286
217,0.298420418,0.351400861
233,0.300091928,0.380704009
250,0.301881171,0.403230091
267,0.303593702,0.418288673
283,0.305407811,0.425982442
300,0.307582854,0.427407836
317,0.309911123,0.430974978
333,0.311857106,0.437570707
350,0.313062154,0.445891117
367,0.31354426,0.455088176
383,0.313591223,0.464788332
400,0.313881665,0.474953152
417,0.31426824,0.485582536
433,0.314659261,0.496639281
450,0.315020158,0.507759578
467,0.315348219,0.518123757
483,0.315654466,0.526965744
500,0.315952227,0.534272154
517,0.3162507,0.540750877
533,0.316555072,0.546950145
550,0.316872724,0.552868279
567,0.3172336,0.55823039
583,0.317710377,0.562633056
600,0.318405489,0.565708832
617,0.319413189,0.567972902
633,0.320773497,0.571082222
650,0.322427272,0.575337502
667,0.324177982,0.580271629
683,0.325760774,0.58521476
700,0.326984939,0.589204937
717,0.327797852,0.591883958
733,0.328248708,0.595827987
750,0.328444725,0.60245861
767,0.328581486,0.611039521
783,0.328784191,0.62017949
800,0.329029815,0.628514852
817,0.329288125,0.635088452
833,0.329539758,0.639488796
850,0.329777803,0.641826832
867,0.329998115,0.642604809
883,0.330203845,0.642757084
900,0.330397387,0.643146319
917,0.330579008,0.643372119
933,0.330750832,0.643552856
950,0.330913622,0.644147003
967,0.331069293,0.645018536
983,0.331219895,0.645957707
1000,0.331364619,0.646874096
1017,0.331498069,0.647911657
1033,0.3316281,0.649206935
1050,0.331834236,0.650607254
1067,0.332246833,0.651784632
1083,0.332994625,0.652526103
1100,0.334205082,0.652845848
1117,0.33598279,0.652904321
1133,0.338374782,0.653039829
1150,0.34127903,0.653221682
1167,0.34434735,0.653398476
1183,0.346983145,0.653552092
1200,0.348598123,0.653684835
1217,0.34939728,0.653805764
1233,0.351168132,0.653919427
1250,0.353987674,0.654022596
1267,0.35718491,0.654122962
1283,0.359962927,0.654287323
1300,0.361889596,0.654608185
1317,0.363033198,0.655159725
1333,0.363681317,0.655983219
1350,0.36421264,0.65704358
1367,0.365273045,0.658200628
1383,0.367057529,0.659259638
1400,0.369224231,0.660079912
1417,0.371158611,0.660628157
1433,0.372434611,0.660943651
1450,0.373069395,0.661101606
1467,0.373789376,0.661196274
1483,0.375165545,0.661300342
1500,0.377291261,0.661420252
1517,0.38003841,0.661547606
1533,0.382962538,0.661676843
1550,0.385506726,0.661805229
1567,0.387416148,0.661926919
1583,0.388856875,0.662034647
1600,0.390269449,0.662134628
1617,0.392033616,0.662296839
1633,0.394007173,0.66261534
1650,0.395688275,0.663165078
1667,0.396718473,0.663985078
1683,0.397094492,0.665040694
1700,0.397178719,0.666190752
1717,0.397506203,0.667239085
1733,0.397924218,0.668045475
1750,0.398347742,0.668576266
1767,0.398739306,0.668873604
1783,0.399079826,0.669018912
1800,0.399366978,0.669114637
1817,0.399685308,0.669214766
1833,0.400243386,0.669311475
1850,0.401229403,0.669406543
1867,0.402776291,0.669534648
1883,0.404920638,0.669723079
1900,0.407523225,0.669961764
1917,0.410142327,0.670199165
1933,0.411907065,0.670337633
1950,0.412659698,0.670571042
1967,0.417745229,0.671362233
1983,0.42991591,0.673036118
2000,0.45196638,0.675870045
2017,0.485970133,0.67994943
2033,0.53223204,0.685052312
2050,0.588778166,0.690769255
2067,0.651577739,0.696741762
2083,0.715397199,0.702832743
2100,0.7750506,0.709274552
2117,0.826254079,0.716658715
2133,0.866244541,0.725736078
2150,0.895000951,0.736883057
2167,0.915932668,0.749419623
2183,0.932909782,0.761715869
2200,0.946723982,0.772079164
2217,0.956817544,0.779531333
2233,0.963925993,0.784197669
2250,0.96963202,0.787360554
2267,0.97443604,0.791290303
2283,0.978139115,0.798665967
2300,0.980653463,0.811723235
2317,0.982129038,0.831471113
2333,0.982838429,0.857171934
2350,0.983058555,0.8863024
2367,0.98321215,0.915462505
2383,0.983543597,0.941848171
2400,0.984035739,0.963972957
2417,0.984697254,0.981306107
2433,0.985528951,0.993482852
2450,0.986472204,1.000153974
2467,0.987359587,1.00354775
2483,0.987928681,1.010594785
2500,0.988789888,1.021744394
2517,0.991394002,1.035419336
2533,0.996784451,1.049567027
2550,1.005945604,1.06196893
2567,1.019712915,1.070446435
2583,1.038580853,1.073467109
2600,1.062227624,1.079142854
2617,1.08911574,1.092628272
2633,1.116630425,1.113382917
2650,1.141859244,1.139305629
2667,1.16277907,1.167077661
2683,1.179209399,1.19296838
2700,1.193073217,1.213881901
2717,1.206847571,1.227912357
2733,1.221026792,1.234446405
2750,1.234199365,1.2368038
2767,1.24450459,1.244310906
