Time (ms),Trajectory biped,Trajectory tripod
0,0,0
100,0.259810569,0.125580498
200,0.297100556,0.316706286
300,0.307582854,0.427407836
400,0.313881665,0.474953152
500,0.315952227,0.534272154
600,0.318405489,0.565708832
700,0.326984939,0.589204937
800,0.329029815,0.628514852
900,0.330397387,0.643146319
1000,0.331364619,0.646874096
1100,0.334205082,0.652845848
1200,0.348598123,0.653684835
1300,0.361889596,0.654608185
1400,0.369224231,0.660079912
1500,0.377291261,0.661420252
1600,0.390269449,0.662134628
1700,0.397178719,0.666190752
1800,0.399366978,0.669114637
1900,0.407523225,0.669961764
2000,0.45196638,0.675870045
2100,0.7750506,0.709274552
2200,0.946723982,0.772079164
2300,0.980653463,0.811723235
2400,0.984035739,0.963972957
2500,0.988789888,1.021744394
2600,1.062227624,1.079142854
2700,1.193073217,1.213881901
2800,1.252495168,1.268590394
2900,1.279779362,1.333003631
3000,1.522575028,1.462281219
3100,1.671581282,1.512373552
3200,1.73080233,1.631753532
3300,1.782446873,1.736235724
3400,2.088137169,1.811200817
3500,2.265473889,2.019642207
3600,2.322771929,2.088341158
3700,2.370879554,2.173411405
3800,2.728756827,2.514911207
3900,2.952899395,2.698507117
4000,3.013542499,2.821094404
4100,3.037229754,2.908035873
4200,3.351601776,3.183719377
4300,3.72685198,3.264160063
4400,3.783838726,3.338219625
4500,3.804932149,3.555295571
4600,3.966871169,3.670004895
4700,4.450739931,3.765030179
4800,4.605787481,3.90123648
4900,4.622599076,4.115471842
5000,4.640070688,4.179471564
5100,4.655430048,4.262304825
5200,4.931368853,4.499884307
5300,5.269520079,4.553855949
5400,5.359613473,4.682626685
5500,5.382440174,4.830943692
5600,5.608061153,4.900141694
5700,5.898573065,5.09472118
5800,5.95897802,5.190774097
5900,5.979926674,5.291000314
6000,6.032299184,5.486826311
6100,6.421333969,5.532628203
6200,6.616110585,5.596587722
6300,6.671886805,5.790934543
6400,6.70438314,5.881174878
6500,6.758864779,5.951212254
6600,7.208231747,6.117449935
6700,7.483605887,6.154726177
6800,7.532506282,6.202252232
6900,7.554545518,6.408279837
7000,7.857888124,6.506481116
7100,8.238219512,6.57858483
7200,8.293341426,6.713473413
7300,8.346326304,6.911065999
7400,8.465704975,6.969135919
7500,8.835612574,7.042642234
7600,8.999288045,7.315224124
7700,9.044740882,7.415027656
7800,9.158086541,7.487228337
7900,9.506724542,7.619063973
8000,9.632939646,7.841989271
8100,9.647638564,7.884113702
8200,9.659851887,8.012427802
8300,9.915642675,8.270697913
8400,10.23143883,8.321398812
8500,10.26982406,8.377716063
8600,10.28512101,8.627406148
8700,10.30471611,8.866292168
8800,10.45388039,8.916474388
8900,10.93838337,8.991666339
9000,11.0866599,9.161988354
9100,11.10765996,9.227496426
9200,11.11974218,9.345636328
9300,11.18149212,9.450366189
9400,11.62506649,9.501622834
9500,11.8465302,9.670064144
9600,11.86650131,9.732046625
9700,11.88914354,9.806922712
9800,12.15104711,9.939412107
9900,12.50109015,9.979084119
10000,12.60035105,10.08148365
10100,12.62215324,10.17301854
10117,12.62556765,10.17753096
10133,12.627228,10.18540923
10150,12.62897235,10.19510873
10167,12.63639035,10.20484824
10183,12.65224991,10.21272856
10200,12.67925552,10.21687383
10217,12.71900715,10.21878867
10233,12.77069037,10.22755395
10250,12.83083483,10.24435325
10267,12.89520275,10.26908397
10283,12.96068885,10.30009353
10300,13.0245637,10.33416823
10317,13.08296117,10.36729359
10333,13.13134955,10.39585863
10350,13.16657261,10.41729336
10367,13.18979812,10.43005891
10383,13.20923429,10.43387379
10400,13.23240152,10.43883288
10417,13.25771446,10.44948694
10433,13.27977381,10.46263862
10450,13.29462301,10.47475306
10467,13.30217439,10.48262756
10483,13.30573141,10.48430857
10500,13.30886829,10.49190029
10517,13.31186418,10.50828277
10533,13.31407782,10.53311382
10550,13.31563655,10.56519923
10567,13.32075927,10.60205069
10583,13.33277268,10.64011061
10600,13.35461245,10.67598703
10617,13.38856599,10.70720247
10633,13.43541824,10.73201079
10650,13.49402881,10.74924327
10667,13.56143496,10.75860034
10683,13.63320929,10.76077473
10700,13.70389221,10.76477012
10717,13.76782267,10.77342579
10733,13.82065854,10.78533643
10750,13.86068561,10.7989522
10767,13.88928914,10.81246242
10783,13.90993069,10.82379488
10800,13.92509634,10.8310363
10817,13.93471377,10.83602216
