Time (ms),Trajectory 1
0,0
17,0.0169863700866699
33,0.0363569259643555
50,0.0587546825408936
67,0.0821270942687988
83,0.102294445037842
100,0.114897012710571
117,0.117097139358521
133,0.108314990997314
150,0.0900735855102539
167,0.0652375221252441
183,0.0371594429016113
200,0.00899934768676758
217,-0.0166819095611572
233,-0.0380828380584717
250,-0.0541951656341553
267,-0.0647664070129395
283,-0.0701940059661865
300,-0.0713529586791992
317,-0.0693731307983398
333,-0.0653913021087646
350,-0.0603234767913818
367,-0.0547237396240234
383,-0.048832893371582
400,-0.0427694320678711
417,-0.0366625785827637
433,-0.0306704044342041
450,-0.024958610534668
467,-0.0196683406829834
483,-0.0148625373840332
500,-0.0104854106903076
517,-0.00641393661499023
533,-0.00258564949035645
550,0.000923633575439453
567,0.00391054153442383
583,0.00610876083374023
600,0.0072777271270752
617,0.00728845596313477
633,0.00618457794189453
650,0.00417900085449219
667,0.00162839889526367
683,-0.000902652740478516
700,-0.00258564949035645
717,-0.00258302688598633
733,-0.000524520874023438
750,0.00330686569213867
767,0.00818204879760742
783,0.0132417678833008
800,0.0177557468414307
817,0.021251916885376
833,0.0235319137573242
850,0.0246491432189941
867,0.0248708724975586
883,0.0245745182037354
900,0.0241081714630127
917,0.0237147808074951
933,0.0235376358032227
950,0.0236485004425049
967,0.0240585803985596
983,0.0247092247009277
1000,0.0254619121551514
1017,0.0261368751525879
1033,0.0265877246856689
1050,0.0267367362976074
1067,0.026561975479126
1083,0.0260870456695557
1100,0.0253927707672119
1117,0.0246312618255615
1133,0.0239906311035156
1150,0.0236208438873291
1167,0.023594856262207
1183,0.0239145755767822
1200,0.0245137214660645
1217,0.0252549648284912
1233,0.0259740352630615
1250,0.0265536308288574
1267,0.0269539356231689
1283,0.0271892547607422
1300,0.0272934436798096
1317,0.0272986888885498
1333,0.0272257328033447
1350,0.0270817279815674
1367,0.0268652439117432
1383,0.026578426361084
1400,0.026242733001709
1417,0.0259225368499756
1433,0.0257258415222168
1450,0.0257418155670166
1467,0.0259454250335693
1483,0.0261960029602051
1500,0.026334285736084
1517,0.0262539386749268
1533,0.0259139537811279
1550,0.0253474712371826
1567,0.0246665477752686
1583,0.0240170955657959
1600,0.0234999656677246
1617,0.0231342315673828
1633,0.0228781700134277
1650,0.0226600170135498
1667,0.022402286529541
1683,0.022042989730835
1700,0.0215585231781006
1717,0.0209949016571045
1733,0.0204825401306152
1750,0.0201921463012695
1767,0.0202405452728271
1783,0.0206246376037598
1800,0.0212180614471436
1817,0.0218300819396973
1833,0.0222938060760498
1850,0.0225083827972412
1867,0.0224258899688721
1883,0.0220353603363037
1900,0.0213692188262939
1917,0.0205340385437012
1933,0.0197381973266602
1950,0.0192661285400391
1967,0.0194017887115479
1983,0.0203719139099121
2000,0.0223026275634766
2017,0.0251359939575195
2033,0.0285601615905762
2050,0.0321333408355713
2067,0.0355572700500488
2083,0.0388259887695313
2100,0.042182445526123
2117,0.0460119247436523
2133,0.0507018566131592
2150,0.0563991069793701
2167,0.0627706050872803
2183,0.0690646171569824
2200,0.0744791030883789
2217,0.0785362720489502
2233,0.0813255310058594
2250,0.0835962295532227
2267,0.0866713523864746
2283,0.0921199321746826
2300,0.101208209991455
2317,0.114357948303223
2333,0.130858659744263
2350,0.148936986923218
2367,0.1663658618927
2383,0.181372880935669
2400,0.193087577819824
2417,0.201338291168213
2433,0.206215381622314
2450,0.207846164703369
2467,0.206482648849487
2483,0.202616214752197
2500,0.196961879730225
2517,0.190401792526245
2533,0.183941125869751
2550,0.178688049316406
2567,0.175820827484131
2583,0.176455497741699
2600,0.181405305862427
2617,0.190922975540161
2633,0.204500436782837
2650,0.220797777175903
2667,0.237786769866943
2683,0.253217697143555
2700,0.26525092124939
2717,0.272814512252808
2733,0.275607347488403
2750,0.274007797241211
2767,0.26897931098938
2783,0.261906385421753
2800,0.254368305206299
2817,0.247968673706055
2833,0.244220972061157
2850,0.244409084320068
2867,0.249392747879028
2883,0.259384393692017
2900,0.273770093917847
2917,0.291088342666626
2933,0.309244155883789
2950,0.32597827911377
2967,0.339447259902954
2983,0.34856104850769
3000,0.352997779846191
3017,0.353070974349976
3033,0.349570274353027
3050,0.343635082244873
3067,0.336674451828003
3083,0.330279111862183
3100,0.326105356216431
3117,0.325728893280029
3133,0.330451011657715
3150,0.341017007827759
3167,0.357287883758545
3183,0.37798023223877
3200,0.400676250457764
3217,0.42237377166748
3233,0.440392255783081
3250,0.452936410903931
3267,0.459197998046875
3283,0.459392309188843
3300,0.454814910888672
3317,0.447687387466431
3333,0.440755128860474
3350,0.43681526184082
3367,0.438246250152588
3383,0.446548461914063
3400,0.461950540542603
3417,0.483234882354736
3433,0.507923603057861
3450,0.532953023910522
3467,0.555611848831177
3483,0.574091911315918
3500,0.587510108947754
3517,0.595720052719116
3533,0.59907865524292
3550,0.598188877105713
3567,0.593707799911499
3583,0.5863938331604
3600,0.577333450317383
3617,0.56806755065918
3633,0.560517072677612
3650,0.556782722473145
3667,0.55884051322937
3683,0.568207263946533
3700,0.585689067840576
3717,0.611247301101685
3733,0.643941879272461
3750,0.68193793296814
3767,0.722654104232788
3783,0.763190031051636
3800,0.800912618637085
