Time (ms),Trajectory 1
0,0
17,-0.0178682431578636
33,-0.0348734930157661
50,-0.0489056631922722
67,-0.0571322068572044
83,-0.0578484311699867
100,-0.0521723106503487
117,-0.0436679050326347
133,-0.0360872820019722
150,-0.0316097512841225
167,-0.0304341167211533
183,-0.0314497128129005
200,-0.0333637297153473
217,-0.0352086648344994
233,-0.0362275764346123
250,-0.0360564813017845
267,-0.0351659283041954
283,-0.0345230475068092
300,-0.034621499478817
317,-0.0352867618203163
333,-0.0362929180264473
350,-0.0375087633728981
367,-0.0385372117161751
383,-0.0390244349837303
400,-0.0394816473126411
417,-0.0410597398877144
433,-0.0443171039223671
450,-0.0486743673682213
467,-0.0529290363192558
483,-0.0559974387288094
500,-0.0574371591210365
517,-0.0575304105877876
533,-0.056968592107296
550,-0.0564074292778969
567,-0.056139849126339
583,-0.0562106445431709
600,-0.0567972585558891
617,-0.0581660643219948
633,-0.0602310076355934
650,-0.0624723359942436
667,-0.0643291100859642
683,-0.0655425265431404
700,-0.0662573501467705
717,-0.0669415965676308
733,-0.0681721940636635
750,-0.0703407898545265
767,-0.0733901485800743
783,-0.0768115445971489
800,-0.0799139961600304
817,-0.0821590051054955
833,-0.0834033563733101
850,-0.0838696137070656
867,-0.0838979259133339
883,-0.0837593898177147
900,-0.0836099311709404
917,-0.0835110172629356
933,-0.0834688618779182
950,-0.0834674015641212
967,-0.0834879502654076
983,-0.0835171267390251
1000,-0.0835480764508247
1017,-0.0835784897208214
1033,-0.0836082771420479
1050,-0.0836379900574684
1067,-0.083668477833271
1083,-0.0837008282542229
1100,-0.0837360993027687
1117,-0.0837746635079384
1133,-0.0838159546256065
1150,-0.0838588103652
1167,-0.083902008831501
1183,-0.0839444622397423
1200,-0.0839854255318642
1217,-0.084024615585804
1233,-0.0840622559189796
1250,-0.0840988680720329
1267,-0.0841348990797997
1283,-0.0841705724596977
1300,-0.0842060074210167
1317,-0.0842413082718849
1333,-0.0842766985297203
1350,-0.0843125507235527
1367,-0.084349162876606
1383,-0.0843866541981697
1400,-0.0844249203801155
1417,-0.0844635888934135
1433,-0.0845019444823265
1450,-0.0845391377806664
1467,-0.0845748707652092
1483,-0.0846104547381401
1500,-0.0846495106816292
1517,-0.0846979692578316
1533,-0.0847625955939293
1550,-0.0848464742302895
1567,-0.0849403813481331
1583,-0.0850105956196785
1600,-0.0849878117442131
1617,-0.08476871997118
1633,-0.0842500999569893
1650,-0.0834211334586143
1667,-0.0824533626437187
1683,-0.0816227123141289
1700,-0.0811017528176308
1717,-0.0808810964226723
1733,-0.0808585211634636
1750,-0.0809308812022209
1767,-0.0810283198952675
1783,-0.0811159834265709
1800,-0.0811835303902626
1817,-0.0812334343791008
1833,-0.0812724456191063
1850,-0.0813067927956581
1867,-0.0813405737280846
1883,-0.0813756659626961
1900,-0.0814123824238777
1917,-0.0814500078558922
1933,-0.0814871564507484
1950,-0.0815223231911659
1967,-0.0815552249550819
1983,-0.0815888866782188
2000,-0.0816319659352303
2017,-0.0817000046372414
2033,-0.0818121805787086
2050,-0.0819775089621544
2067,-0.0821663662791252
2083,-0.0822722837328911
2100,-0.0820814296603203
2117,-0.0812836512923241
2133,-0.0795832201838493
2150,-0.0769842341542244
2167,-0.0740631893277168
2183,-0.0717209205031395
2200,-0.0705123767256737
2217,-0.0703234896063805
2233,-0.0705937519669533
2250,-0.0707698836922646
2267,-0.0706963017582893
2283,-0.0705873146653175
2300,-0.0706360265612602
2317,-0.0707933232188225
2333,-0.0709943100810051
2350,-0.0715021565556526
2367,-0.0728031620383263
2383,-0.0751517489552498
2400,-0.078458271920681
2417,-0.0824549421668053
2433,-0.0866013988852501
2450,-0.090061329305172
2467,-0.0920700803399086
2483,-0.0922630205750465
2500,-0.0907501354813576
2517,-0.0880324169993401
2533,-0.0848196223378181
2550,-0.0817899033427238
2567,-0.0793544426560402
2583,-0.0775674656033516
2600,-0.0762231722474098
2617,-0.0751077309250832
2633,-0.0742766335606575
2650,-0.07407196611166
2667,-0.0748613104224205
2683,-0.076742522418499
2700,-0.0793785974383354
2717,-0.0821134820580482
2733,-0.0842991098761559
2750,-0.0855173543095589
2767,-0.0856230929493904
2783,-0.0847201272845268
2800,-0.0831108316779137
2817,-0.0811969563364983
2833,-0.0793381556868553
2850,-0.0777278617024422
2867,-0.0763557478785515
2883,-0.0751598253846169
2900,-0.0742720291018486
2917,-0.0740321651101112
2933,-0.074730210006237
2950,-0.0763194486498833
2967,-0.0782846584916115
2983,-0.0798540934920311
3000,-0.0804477110505104
3017,-0.0799093320965767
3033,-0.0784306153655052
3050,-0.0763768181204796
3067,-0.0741344466805458
3083,-0.0720480754971504
3100,-0.0704182013869286
3117,-0.0694576576352119
3133,-0.0692015960812569
3150,-0.0694773122668266
3167,-0.0700053200125694
3183,-0.0706643685698509
3200,-0.0717299953103065
3217,-0.0736294314265251
3233,-0.0763283148407936
3250,-0.0790850445628166
3267,-0.0807685181498528
3283,-0.0804458037018776
3300,-0.0779457464814186
3317,-0.0739707574248314
3333,-0.0697144940495491
3350,-0.0663042291998863
3367,-0.0643428936600685
3383,-0.0638986900448799
3400,-0.0648378655314445
3417,-0.0669718012213707
3433,-0.0699648633599281
3450,-0.0733795389533043
3467,-0.0768692120909691
3483,-0.0801544710993767
3500,-0.0828121080994606
3517,-0.084297887980938
3533,-0.084245003759861
3550,-0.0826903507113457
3567,-0.0800738409161568
3583,-0.0770075842738152
3600,-0.0739550814032555
3617,-0.0711473152041435
3633,-0.0687583759427071
3650,-0.0670133456587791
3667,-0.0660095885396004
3683,-0.0654482915997505
3700,-0.0646725073456764
3717,-0.0631650909781456
3733,-0.0611590370535851
3750,-0.0597295835614204
3767,-0.0602907761931419
3783,-0.0638742372393608
3800,-0.0704985186457634
3817,-0.079038180410862
3833,-0.0876833871006966
3850,-0.0947848334908485
3867,-0.0996387228369713
3883,-0.102348051965237
3900,-0.102993227541447
3917,-0.101438604295254
3933,-0.0979313179850578
3950,-0.0933640524744987
3967,-0.0887855812907219
3983,-0.0848958715796471
4000,-0.0819073989987373
4017,-0.0795865431427956
4033,-0.0774812772870064
4050,-0.0752102509140968
4067,-0.0725909247994423
4083,-0.0697047188878059
4100,-0.0669500157237053
4117,-0.0649008080363274
4133,-0.0640293881297112
4150,-0.0646222159266472
4167,-0.0668349489569664
4183,-0.0704908445477486
4200,-0.0747669860720634
4217,-0.0784790143370628
4233,-0.0808480903506279
4250,-0.0817544385790825
4267,-0.0813674405217171
4283,-0.0798585340380669
4300,-0.0774141177535057
4317,-0.0743384137749672
4333,-0.071100078523159
4350,-0.0682342723011971
4367,-0.0661368444561958
4383,-0.0649306103587151
4400,-0.0644562467932701
4417,-0.064350925385952
4433,-0.0642490610480309
4450,-0.0641773715615273
4467,-0.064883254468441
4483,-0.0674296543002129
4500,-0.072212927043438
4517,-0.0784673914313316
4533,-0.0845914259552956
4550,-0.0890089794993401
4567,-0.0910652801394463
4583,-0.0910549834370613
4600,-0.0894950553774834
4617,-0.0867415741086006
4633,-0.0831597521901131
4650,-0.0792559906840324
4667,-0.0755726173520088
4683,-0.0725236013531685
4700,-0.0702666714787483
4717,-0.068660669028759
4733,-0.0673411265015602
4750,-0.0659405663609505
4767,-0.0643736198544502
4783,-0.062949575483799
4800,-0.0622497126460075
4817,-0.0628479048609734
4833,-0.0649720653891563
4850,-0.0682957246899605
4867,-0.0719789937138557
4883,-0.0750494971871376
4900,-0.0769287571310997
4917,-0.0775429531931877
4933,-0.0770190134644508
4950,-0.0754914358258247
4967,-0.0731595233082771
4983,-0.0703921541571617
5000,-0.0677331909537315
5017,-0.0657031014561653
5033,-0.0644967332482338
5050,-0.0639268234372139
5067,-0.0636404529213905
5083,-0.0633272305130959
5100,-0.0628431513905525
5117,-0.0623256042599678
5133,-0.0622443035244942
5150,-0.0631796643137932
5167,-0.0653746202588081
5183,-0.0684204623103142
5200,-0.0712850615382195
5217,-0.072801761329174
5233,-0.0723870769143105
5250,-0.0702946409583092
5267,-0.0673073753714561
5283,-0.0643076673150063
5300,-0.0619481131434441
5317,-0.0605176463723183
5333,-0.0599799826741219
5350,-0.0600925907492638
5367,-0.0606000497937202
5383,-0.0615439042448997
5400,-0.063486821949482
5417,-0.0671464875340462
5433,-0.0725625082850456
5450,-0.0786313489079475
5467,-0.083371140062809
5483,-0.0848971977829933
5500,-0.0826246067881584
5517,-0.0775233283638954
5533,-0.0713249072432518
5550,-0.0656025782227516
5567,-0.0612065866589546
5583,-0.0582855567336082
5600,-0.0567091181874275
5617,-0.0563260391354561
5633,-0.0569874718785286
5650,-0.0586847141385078
5667,-0.0617440715432167
5683,-0.0665888115763664
5700,-0.0730862990021706
5717,-0.0800678357481956
5733,-0.0854383632540703
5750,-0.0872061178088188
5767,-0.0848949328064919
5783,-0.0797073319554329
5800,-0.0734000727534294
5817,-0.0673851296305656
