Time (ms),Trajectory 1
0,-0.0121071312266091
17,-0.0104620466008782
33,-0.00881696197514733
50,-0.00622388992148141
67,-0.00262415859227379
83,0.00101976531247298
100,0.00352254486642778
117,0.00423237060507139
133,0.00337963454270115
150,0.00178713564794937
167,0.000288359062930491
183,-0.000652852605223112
200,-0.000955241092015058
217,-0.000747061460666979
233,-0.000265001464867964
250,0.000174726543870444
267,0.000313951066345908
283,0.000131414824863896
300,-0.000189070386113599
317,-0.000465713426820002
333,-0.000613771378993988
350,-0.000598196687254434
367,-0.000470440078061074
383,-0.000449541180084149
400,-0.000781519658630714
417,-0.0014485387946479
433,-0.00210620152453581
450,-0.00235496298409998
467,-0.00204431257831554
483,-0.00133641654004653
500,-0.000557252754030439
517,5.85765519645065E-06
533,0.000242029117847172
550,0.000214850893826224
567,3.68118295834089E-05
583,-0.00024160442505187
600,-0.000604657766719659
617,-0.000969544014272591
633,-0.00118381227366626
650,-0.00114745642834653
667,-0.000909653240038703
683,-0.000639750011032447
700,-0.000524215371115133
717,-0.00067131068984357
733,-0.00105319909440974
750,-0.0015087901459386
767,-0.00182125554420054
783,-0.00183420616667718
800,-0.00153606672150393
817,-0.00105474285858994
833,-0.000569453787951109
850,-0.000209495409459729
867,-9.63508621983541E-06
883,6.4659117924748E-05
900,6.77436595045341E-05
917,4.33057542371292E-05
933,1.65596607075713E-05
950,-2.51978614566421E-06
967,-1.28939735380603E-05
983,-1.71214326959065E-05
1000,-1.8168984145935E-05
1017,-1.81063993901868E-05
1033,-1.79901702116088E-05
1050,-1.82539212498038E-05
1067,-1.90660351411983E-05
1083,-2.04294919967651E-05
1100,-2.21312038775068E-05
1117,-2.37837418050428E-05
1133,-2.50056364166085E-05
1150,-2.5585291950847E-05
1167,-2.55122765035291E-05
1183,-2.49221902777208E-05
1200,-2.40400410499812E-05
1217,-2.31236202428893E-05
1233,-2.23726025675812E-05
1250,-2.18600034713745E-05
1267,-2.15455887276524E-05
1283,-2.13548537431052E-05
1300,-2.12535257257211E-05
1317,-2.12669371345934E-05
1333,-2.1439790846974E-05
1350,-2.1781027802111E-05
1367,-2.22325318948909E-05
1383,-2.26795661243765E-05
1400,-2.29716279136483E-05
1417,-2.29507665305088E-05
1433,-2.25499255369262E-05
1450,-2.19792121545955E-05
1467,-2.18883148287811E-05
1483,-2.33471382671269E-05
1500,-2.75239332646985E-05
1517,-3.49104399598824E-05
1533,-4.39375629260515E-05
1550,-4.90412094222847E-05
1567,-3.89337510569021E-05
1583,3.032386302948E-06
1600,9.32156957181481E-05
1617,0.00023271737639637
1633,0.000388203533172297
1650,0.000494274456286803
1667,0.000494676787639037
1683,0.000389164653218662
1700,0.000233645723104322
1717,9.35062726057367E-05
1733,2.36481537285727E-06
1750,-4.04685700535386E-05
1767,-5.1011140991856E-05
1783,-4.57763635495212E-05
1800,-3.61576652115521E-05
1817,-2.79724584591653E-05
1833,-2.30401747103315E-05
1850,-2.10359691360888E-05
1867,-2.08809966958749E-05
1883,-2.15023749963924E-05
1900,-2.20924606158709E-05
1917,-2.21431249277278E-05
1933,-2.15157864052647E-05
1950,-2.06947327872816E-05
1967,-2.11372965471431E-05
1983,-2.5442241167184E-05
2000,-3.6807355475806E-05
2017,-5.68836900735429E-05
2033,-8.11904610600322E-05
2050,-9.26464757261177E-05
2067,-5.64023824457157E-05
2083,7.78794219513657E-05
2100,0.000357177816113108
2117,0.000778625884170954
2133,0.00123176568498214
2150,0.00150827609468251
2167,0.00143341561003278
2183,0.00102115565096028
2200,0.000486686801499066
2217,8.69661501686399E-05
2233,-6.30319082119968E-05
2250,-3.66374842997175E-05
2267,1.40294414450182E-05
2283,3.68356692585318E-06
2300,-5.04016819225702E-05
2317,-0.000127312530821655
2333,-0.000287596854226043
2350,-0.000616727707286676
2367,-0.00111135531915352
2383,-0.00166078940189133
2400,-0.00211014288167159
2417,-0.00230527063831687
2433,-0.00212181949367126
2450,-0.00152767593196283
2467,-0.000635042757494375
2483,0.000334885698975995
2500,0.00114810609375127
2517,0.00164036293669293
2533,0.00176382053177804
2550,0.00159301302240541
2567,0.00128188872865091
2583,0.000981344239941488
2600,0.000753754323037962
