Time (ms),Trajectory tripod
0,0
17,0.030272014
33,0.060545016
50,0.088609347
67,0.110135568
83,0.120901207
100,0.125580498
117,0.141530595
133,0.167685517
150,0.201249284
167,0.239162088
183,0.278525283
200,0.316706286
217,0.351400861
233,0.380704009
250,0.403230091
267,0.418288673
283,0.425982442
300,0.427407836
317,0.430974978
333,0.437570707
350,0.445891117
367,0.455088176
383,0.464788332
400,0.474953152
417,0.485582536
433,0.496639281
450,0.507759578
467,0.518123757
483,0.526965744
500,0.534272154
517,0.540750877
533,0.546950145
550,0.552868279
567,0.55823039
583,0.562633056
600,0.565708832
617,0.567972902
633,0.571082222
650,0.575337502
667,0.580271629
683,0.58521476
700,0.589204937
717,0.591883958
733,0.595827987
750,0.60245861
767,0.611039521
783,0.62017949
800,0.628514852
817,0.635088452
833,0.639488796
850,0.641826832
867,0.642604809
883,0.642757084
900,0.643146319
917,0.643372119
933,0.643552856
950,0.644147003
967,0.645018536
983,0.645957707
1000,0.646874096
1017,0.647911657
1033,0.649206935
1050,0.650607254
1067,0.651784632
1083,0.652526103
1100,0.652845848
1117,0.652904321
1133,0.653039829
1150,0.653221682
1167,0.653398476
1183,0.653552092
1200,0.653684835
1217,0.653805764
1233,0.653919427
1250,0.654022596
1267,0.654122962
1283,0.654287323
1300,0.654608185
1317,0.655159725
1333,0.655983219
1350,0.65704358
1367,0.658200628
1383,0.659259638
1400,0.660079912
1417,0.660628157
1433,0.660943651
1450,0.661101606
1467,0.661196274
1483,0.661300342
1500,0.661420252
1517,0.661547606
1533,0.661676843
1550,0.661805229
1567,0.661926919
1583,0.662034647
1600,0.662134628
1617,0.662296839
1633,0.66261534
1650,0.663165078
1667,0.663985078
1683,0.665040694
1700,0.666190752
1717,0.667239085
1733,0.668045475
1750,0.668576266
1767,0.668873604
1783,0.669018912
1800,0.669114637
1817,0.669214766
1833,0.669311475
1850,0.669406543
1867,0.669534648
1883,0.669723079
1900,0.669961764
1917,0.670199165
1933,0.670337633
1950,0.670571042
1967,0.671362233
1983,0.673036118
2000,0.675870045
2017,0.67994943
2033,0.685052312
2050,0.690769255
2067,0.696741762
2083,0.702832743
2100,0.709274552
2117,0.716658715
2133,0.725736078
2150,0.736883057
2167,0.749419623
2183,0.761715869
2200,0.772079164
2217,0.779531333
2233,0.784197669
2250,0.787360554
2267,0.791290303
2283,0.798665967
2300,0.811723235
2317,0.831471113
2333,0.857171934
2350,0.8863024
2367,0.915462505
2383,0.941848171
2400,0.963972957
2417,0.981306107
2433,0.993482852
2450,1.000153974
2467,1.00354775
2483,1.010594785
2500,1.021744394
2517,1.035419336
2533,1.049567027
2550,1.06196893
2567,1.070446435
2583,1.073467109
2600,1.079142854
2617,1.092628272
2633,1.113382917
2650,1.139305629
2667,1.167077661
2683,1.19296838
2700,1.213881901
2717,1.227912357
2733,1.234446405
2750,1.2368038
2767,1.244310906
2783,1.255747636
2800,1.268590394
2817,1.280081708
2833,1.287768133
2850,1.290523677
2867,1.297084581
2883,1.311383132
2900,1.333003631
2917,1.360007014
2933,1.389211548
2950,1.416854942
2967,1.439541317
2983,1.454968917
3000,1.462281219
3017,1.463064751
3033,1.469700319
3050,1.480518561
3067,1.493055954
3083,1.504581796
3100,1.512373552
3117,1.514284248
3133,1.521257576
3150,1.53754792
3167,1.562983504
3183,1.595621554
3200,1.631753532
3217,1.666673118
3233,1.695977403
3250,1.716454977
3267,1.726415571
3283,1.727103825
3300,1.736235724
3317,1.750308998
3333,1.764652089
3350,1.774508043
3367,1.77746096
3383,1.788494677
3400,1.811200817
3417,1.843980499
3433,1.883144741
3450,1.924008013
3467,1.962272686
3483,1.994807821
3500,2.019642207
3517,2.035776271
3533,2.043138901
3550,2.04557883
3567,2.054642792
3583,2.069629286
3600,2.088341158
3617,2.107679354
3633,2.124013417
3650,2.133678689
3667,2.135112967
3683,2.147724075
3700,2.173411405
3717,2.211888718
3733,2.261724813
3750,2.320465492
3767,2.384790616
3783,2.450889396
3800,2.514911207
3817,2.573202526
3833,2.622504456
3850,2.660345787
3867,2.685478993
3883,2.697884245
3900,2.698507117
3917,2.708371398
3933,2.726357889
3950,2.749478976
3967,2.774581647
3983,2.799057134
4000,2.821094404
4017,2.839431117
4033,2.85273966
4050,2.859521336
4067,2.864994832
4083,2.880615464
4100,2.908035873
4117,2.946595042
4133,2.993885307
4150,3.046006421
4167,3.098122413
4183,3.145346838
4200,3.183719377
4217,3.210850681
4233,3.226112851
4250,3.230368236
4267,3.235400365
4283,3.247481689
4300,3.264160063
4317,3.282893471
4333,3.301227769
4350,3.316840127
4367,3.32750245
4383,3.331517213
4400,3.338219625
4417,3.355130942
4433,3.382686119
4450,3.419675789
4467,3.463372323
4483,3.509962185
4500,3.555295571
4517,3.595571774
4533,3.627792413
4550,3.650055322
4567,3.661823665
4583,3.663952028
4600,3.670004895
4617,3.682090176
4633,3.698212605
4650,3.716502549
4667,3.735130306
4683,3.752088098
4700,3.765030179
4717,3.771470798
4733,3.775578189
4750,3.790435459
4767,3.817253185
4783,3.855108967
4800,3.90123648
4817,3.951393788
4833,4.000599855
4850,4.044150596
4867,4.078643983
4883,4.102433528
4900,4.115471842
4917,4.118860712
4933,4.123415441
4950,4.133950464
4967,4.148369831
4983,4.164392256
5000,4.179471564
5017,4.19089526
5033,4.196301768
5050,4.199534929
5067,4.211333287
5083,4.232296906
5100,4.262304825
5117,4.30063658
5133,4.345199363
5150,4.39212401
5167,4.436469165
5183,4.47349598
5200,4.499884307
5217,4.514392923
5233,4.518083168
5250,4.523439384
5267,4.533655756
5283,4.545002067
5300,4.553855949
5317,4.557210712
5333,4.563158398
5350,4.579254016
5367,4.605902196
5383,4.641504669
5400,4.682626685
5417,4.724813273
5433,4.763736104
5450,4.795736877
5467,4.817879062
5483,4.828456103
5500,4.830943692
5517,4.841336597
5533,4.856951322
5550,4.873673027
5567,4.887505067
5583,4.895227268
5600,4.900141694
5617,4.914689425
5633,4.940127933
5650,4.974752174
5667,5.015047022
5683,5.056521499
5700,5.09472118
5717,5.125722735
5733,5.146219392
5750,5.154182777
5767,5.158736898
5783,5.172432615
5800,5.190774097
5817,5.208673335
5833,5.221395852
5850,5.226412362
5867,5.236743629
5883,5.258780926
5900,5.291000314
5917,5.329714793
5933,5.370364993
5950,5.408877313
5967,5.442291338
5983,5.468630435
6000,5.486826311
6017,5.49694317
6033,5.500113549
6050,5.502764311
6067,5.509614683
6083,5.519827665
6100,5.532628203
6117,5.547040151
6133,5.561785062
6150,5.575262418
6167,5.585578562
6183,5.591036487
6200,5.596587722
6217,5.611000597
6233,5.635631326
6250,5.669454641
6267,5.709530628
6283,5.75157256
6300,5.790934543
6317,5.823584958
6333,5.846703361
6350,5.858946696
6367,5.861329466
6383,5.868658154
6400,5.881174878
6417,5.895160498
6433,5.90691959
6450,5.913378979
6467,5.917161781
6483,5.929549587
6500,5.951212254
6517,5.980246282
6533,6.013139795
6550,6.045892573
6567,6.075369884
6583,6.099629643
6600,6.117449935
6617,6.128294343
6633,6.132678
6650,6.133574204
6667,6.138105617
6683,6.14538549
